ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_sl-SI
UiSchema	IDDQuestionnaireMotor	ui-label	IDD	IDD	IDD Vprašalnik	IDD Vprašalnik
UiSchema	IDDQuestionnaireMotor	ui-label	Needs	Needs	Opredelitev potreb in zahtev zavarovalca za zavarovanje vozila	Opredelitev potreb in zahtev zavarovalca za zavarovanje vozila
UiSchema	IDDQuestionnaireMotor	ui-label	Requirements	Requirements	Opredelitev zahtev zavarovalca	Opredelitev zahtev zavarovalca
UiSchema	IDDQuestionnaireMotor	ui-label	Coverage	Coverage	Kritja	Kritja
UiSchema	IDDQuestionnaireMotor	ui-label	Q01	Q01	Ali boste z vozilom udeleženi v cestnem prometu?	Ali boste z vozilom udeleženi v cestnem prometu?
UiSchema	IDDQuestionnaireMotor	ui-label	Q01_01	Q01_01	Želim skleniti zavrovanje avtomobilske odgovornosti	Želim skleniti zavrovanje avtomobilske odgovornosti
UiSchema	IDDQuestionnaireMotor	ui-label	Q02	Q02	Ali bi potrebovali finančno zaščito, če bi kot voznik / povzročitelj prometne nesreče, utrpeli telesne poškodbe?	Ali bi potrebovali finančno zaščito, če bi kot voznik / povzročitelj prometne nesreče, utrpeli telesne poškodbe?
UiSchema	IDDQuestionnaireMotor	ui-label	Q02_01	Q02_01	Želite skleniti zavarovanje voznika za škodo zaradi telesnih poškodb - AO+ zavarovanje?	Želite skleniti zavarovanje voznika za škodo zaradi telesnih poškodb - AO+ zavarovanje?
UiSchema	IDDQuestionnaireMotor	ui-label	Q03	Q03	Ali bi večja materialna škoda na vašem vozilu, ki bi nastala po krivdi voznika vašega vozila, lahko ogrozila vašo finančno varnost?	Ali bi večja materialna škoda na vašem vozilu, ki bi nastala po krivdi voznika vašega vozila, lahko ogrozila vašo finančno varnost?
UiSchema	IDDQuestionnaireMotor	ui-label	Q03_01	Q03_01	Želite skleniti zavarovanje splošnega avtomobilskega kaska - SAK?	Želite skleniti zavarovanje splošnega avtomobilskega kaska - SAK?
UiSchema	IDDQuestionnaireMotor	ui-label	Q04	Q04	Imate pretežni del dneva vozilo pod streho oz. v garaži?	Imate pretežni del dneva vozilo pod streho oz. v garaži?
UiSchema	IDDQuestionnaireMotor	ui-label	Q04_01	Q04_01	Želite skleniti zavarovanje delnega kaska naravnih in elementarnih nesreč?	Želite skleniti zavarovanje delnega kaska naravnih in elementarnih nesreč?
UiSchema	IDDQuestionnaireMotor	ui-label	Q05	Q05	Ali obstaja nevarnost, da bi vam ukradli vozilo / dele vozila?	Ali obstaja nevarnost, da bi vam ukradli vozilo / dele vozila?
UiSchema	IDDQuestionnaireMotor	ui-label	Q05_01	Q05_01	Želite skleniti zavarovanje delnega kaska kraje vozila ali delov vozila?	Želite skleniti zavarovanje delnega kaska kraje vozila ali delov vozila?
UiSchema	IDDQuestionnaireMotor	ui-label	Q06	Q06	Vozite po cestah, kjer je možnost prečkanja živali oziroma lahko pride do stika živali z vozilom tudi ko to miruje?	Vozite po cestah, kjer je možnost prečkanja živali oziroma lahko pride do stika živali z vozilom tudi ko to miruje?
UiSchema	IDDQuestionnaireMotor	ui-label	Q06_01	Q06_01	Želite skleniti zavarovanje delnega kaska za dotik živali?	Želite skleniti zavarovanje delnega kaska za dotik živali?
UiSchema	IDDQuestionnaireMotor	ui-label	Q07	Q07	Bi želeli imeti zavarovano razbitje ali poškodovanje stekel (ne velja za luči in ogledala)?	Bi želeli imeti zavarovano razbitje ali poškodovanje stekel (ne velja za luči in ogledala)?
UiSchema	IDDQuestionnaireMotor	ui-label	Q07_01	Q07_01	Želite skleniti zavarovanje delnega kaska za standardno vgrajena stekla?	Želite skleniti zavarovanje delnega kaska za standardno vgrajena stekla?
UiSchema	IDDQuestionnaireMotor	ui-label	Q08	Q08	Bi želeli imeti zavarovano škodo, ki nastane na parkiranem vozilu z dotikom neznanega vozila?	Bi želeli imeti zavarovano škodo, ki nastane na parkiranem vozilu z dotikom neznanega vozila?
UiSchema	IDDQuestionnaireMotor	ui-label	Q08_01	Q08_01	Želite skleniti zavarovanje delnega kaska parkirišče?	Želite skleniti zavarovanje delnega kaska parkirišče?
UiSchema	IDDQuestionnaireMotor	ui-label	Q09	Q09	Bi želeli imeti zavarovano poškodovanje standardno vgrajenih svetlobnih teles, ogledal (kraja delov ni krita)?	Bi želeli imeti zavarovano poškodovanje standardno vgrajenih svetlobnih teles, ogledal (kraja delov ni krita)?
UiSchema	IDDQuestionnaireMotor	ui-label	Q09_01	Q09_01	Želite skleniti zavarovanje delnega kaska luči in ogledal?	Želite skleniti zavarovanje delnega kaska luči in ogledal?
UiSchema	IDDQuestionnaireMotor	ui-label	Q10	Q10	Potrebujete zavarovanje avtomobilske asistence oziroma 24/7 pomoč na cesti v primeru težav z vozilom?	Potrebujete zavarovanje avtomobilske asistence oziroma 24/7 pomoč na cesti v primeru težav z vozilom?
UiSchema	IDDQuestionnaireMotor	ui-label	Q10_01	Q10_01	Želite skleniti zavarovanje avtomobilske asistence?	Želite skleniti zavarovanje avtomobilske asistence?
UiSchema	IDDQuestionnaireMotor	ui-label	Q11	Q11	Ali potrebujete kritje nadomestnega vozila?	Ali potrebujete kritje nadomestnega vozila?
UiSchema	IDDQuestionnaireMotor	ui-label	Q11_01	Q11_01	Ali želite skleniti asistenco z vključenim nadomestnim vozilom?	Ali želite skleniti asistenco z vključenim nadomestnim vozilom?
UiSchema	IDDQuestionnaireMotor	ui-label	Q12	Q12	Ali potrebujete nadomestno vozilo več kot 5 dni?	Ali potrebujete nadomestno vozilo več kot 5 dni?
